nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion
Conferencia: Paul Gauguin,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3fe707e5ce541610VgnVCM1000001d4a900aRCRD,28002,CALLE MANTUANO 51,19:00,"{'organization-name': 'Centro Cultural Nicolás Salmerón (Chamartín)', 'accesibility': '1'}"
Conferencia: Postimpresionismo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8ed88b854d84910VgnVCM1000001d4a900aRCRD,28030,AVENIDA MORATALAZ 130,18:30,"{'organization-name': 'Centro Cultural el Torito (Moratalaz)', 'accesibility': '1'}"
Conferencia: 'IMAGEN DE LA MUJER EN LA PREHISTORIA',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98db070f747a4910VgnVCM2000001f4a900aRCRD,28035,CALLE ISLA DE ONS 14,19:00,"{'organization-name': 'Centro Sociocultural Rafael de León (Fuencarral - El Pardo)', 'accesibility': '1'}"
Conoce las aplicaciones de Google. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edbba2c1cb315910VgnVCM1000001d4a900aRCRD,28028,AVENIDA TOREROS 5,10:00,"{'organization-name': 'Biblioteca Pública Municipal David Gistau (Salamanca)', 'accesibility': '1,6'}"
Conoce los secretos de tu móvil. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0893f7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,"{'organization-name': 'Biblioteca Pública Municipal Ángel González (Latina)', 'accesibility': '1,6'}"
Conoce tu móvil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f6ff86f05412910VgnVCM1000001d4a900aRCRD,28047,CALLE CAMARENA 10,10:00,"{'organization-name': 'Biblioteca Pública Municipal Aluche (Latina)', 'accesibility': '1,5,6'}"
Conoce tu móvil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=139738dd54af4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,"{'organization-name': 'Biblioteca Pública Municipal Ángel González (Latina)', 'accesibility': '1,6'}"
Conoce y evita riesgos en Internet. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=467b106762794910VgnVCM1000001d4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,10:30,"{'organization-name': 'Biblioteca Pública Municipal San Blas (San Blas-Canillejas)', 'accesibility': '1,6'}"
ConversaCiencia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=27f8577981ff4910VgnVCM1000001d4a900aRCRD,28039,CALLE FRANCOS RODRIGUEZ 67,18:30,"{'organization-name': 'Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán)', 'accesibility': '1,6'}"
Conversaciones con un maltratador,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c06577dee57a4910VgnVCM1000001d4a900aRCRD,28009,PASEO COLOMBIA 1,18:30,"{'organization-name': 'Centro Cultural Casa de Vacas (Retiro)', 'accesibility': '1'}"
Coro Brisa de Colores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef8fa8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,"{'organization-name': 'Centro Cultural Buero Vallejo (San Blas - Canillejas)', 'accesibility': '1'}"
Coro de Adultos y Agrupación de guitarras de  la Escuela Municipal de Música Antonio  Machado,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=31d0a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:30,"{'organization-name': 'Centro Cultural Buero Vallejo (San Blas - Canillejas)', 'accesibility': '1'}"
Coro Yerena Lafargue,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7a8bc1e9c12b4910VgnVCM1000001d4a900aRCRD,28043,CALLE SAN NEMESIO 4,19:00,"{'organization-name': 'Centro Cultural San Juan Bautista (Ciudad Lineal)', 'accesibility': '1'}"
Coser y cantar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d15291bed4ff4910VgnVCM1000001d4a900aRCRD,28007,CALLE LUIS PEIDRO 2,12:00,"{'organization-name': 'Centro Cultural Las Californias (Retiro)', 'accesibility': '1'}"
Creación colectiva de toldos con materiales reciclados,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d358401d45d4910VgnVCM1000001d4a900aRCRD,28029,PLAZA DONOSO 5,11:00,"{'organization-name': 'Biblioteca Pública Municipal María Zambrano (Tetuán)', 'accesibility': '1,6'}"
Creación de marionetas con materiales reutilizados,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec27cc69f0484910VgnVCM2000001f4a900aRCRD,28026,CALLE DOCTOR TOLOSA LATOUR 16,11:00,"{'organization-name': 'Centro de Educación Ambiental y Cultural Maris Stella (Usera)', 'accesibility': '1'}"
CTB Teresa Berganza Big Band,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a243e3af5f54910VgnVCM2000001f4a900aRCRD,28044,AVENIDA LAS AGUILAS 2,20:00,"{'organization-name': 'Auditorio y sala de exposiciones Paco de Lucía (Latina)', 'accesibility': '1'}"
CTB Teresa Berganza Big Band,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eaea54b6aa464910VgnVCM1000001d4a900aRCRD,28044,AVENIDA LAS AGUILAS 2,20:00,"{'organization-name': 'Auditorio y sala de exposiciones Paco de Lucía (Latina)', 'accesibility': '1'}"
Cuarta Parte: 'La música en el arte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=013933d971394910VgnVCM1000001d4a900aRCRD,28028,CALLE MAESTRO ALONSO 6,18:00,"{'organization-name': 'Centro Sociocultural Maestro Alonso (Salamanca)', 'accesibility': '1'}"
Cuatro historias de alquiler,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3171a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,"{'organization-name': 'Centro Cultural Buero Vallejo (San Blas - Canillejas)', 'accesibility': '1'}"
Cuentacuentos compasivos: 'El mapa de los buenos momentos' de Zuzzana Celej,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d016ed4702c1910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,17:30,"{'organization-name': 'Biblioteca Pública Municipal Iván de Vargas (Centro)', 'accesibility': '1,6'}"
Cuentacuentos compasivos: 'El Pajarillo en la ventana' de Lubna Ruth,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=62f06ed4702c1910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,17:30,"{'organization-name': 'Biblioteca Pública Municipal Iván de Vargas (Centro)', 'accesibility': '1,6'}"
Cuentacuentos con Óscar Ayerra,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43cbc56fdb5f4910VgnVCM2000001f4a900aRCRD,28047,CALLE CAMARENA 10,,"{'organization-name': 'Biblioteca Pública Municipal Aluche (Latina)', 'accesibility': '1,5,6'}"
Cuentacuentos con pictogramas:'El enano saltarín',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c5fa53706894910VgnVCM1000001d4a900aRCRD,28049,Carretera M-607 Km 13 L-10 ,12:30,"{'organization-name': 'Centro Sociocultural Montecarmelo (Fuencarral - El Pardo)', 'accesibility': '1'}"
Cuentacuentos teatralizado con pictogramas: 'CUENTOS CABALLERESCOS',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=477805f190894910VgnVCM1000001d4a900aRCRD,28034,PLAZA ISLAS AZORES 1,18:00,"{'organization-name': 'Centro Sociocultural Valverde (Fuencarral - El Pardo)', 'accesibility': '1'}"
Cuentacuentos 'El árbol de los recuerdos' + Taller,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=054d56f509cb4910VgnVCM2000001f4a900aRCRD,28032,BULEVAR INDALECIO PRIETO 21,18:00,"{'organization-name': 'Biblioteca Pública Municipal Francisco Ayala (Vicálvaro)', 'accesibility': '1,6'}"
Cuentacuentos - taller de valores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=942beb1eb9305910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,18:00,"{'organization-name': 'Biblioteca Pública Municipal Benito Pérez Galdós (Centro)', 'accesibility': '1,6'}"
Cuento con pictogramas: 'EL ENANO SALTARÍN',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=180305f190894910VgnVCM1000001d4a900aRCRD,28035,GLORIETA PRADERA DE VAQUERIZAS 9,11:00,"{'organization-name': 'Centro Cultural Alfredo Kraus (Fuencarral - El Pardo)', 'accesibility': '1'}"
Cuidado con los bulos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=80c9f7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,"{'organization-name': 'Biblioteca Pública Municipal Ángel González (Latina)', 'accesibility': '1,6'}"
Cumpleaños,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecfee2fc6e6c1910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,18:30,"{'organization-name': 'Teatro Español', 'accesibility': '1,6'}"
Curso gratuito de escritura creativa para futuras escritoras y escritores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1feda86ea2374910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,"{'organization-name': 'Casa del Lector', 'accesibility': '3'}"
Curso sobre la historia del Barrio del Pilar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c826b7021b7b1910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,11:30,"{'organization-name': 'Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)', 'accesibility': '1,6'}"
Cursos Trimestrales,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=16baf3687f7a4910VgnVCM2000001f4a900aRCRD,28029,CALLE ARZOBISPO MORCILLO 7,,"{'organization-name': 'Centro Sociocultural Valle Inclán (Fuencarral - El Pardo)', 'accesibility': '1'}"
Cyborg Generation,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3256d58d22984910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}"
Damas de Bolero - Irene Martin y Alfred  Hervais,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab31c08889415910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,19:00,"{'organization-name': 'Centro Cultural Antonio Machado (San Blas - Canillejas)', 'accesibility': '1'}"
Danza: A cargo de la Asociación Charra en Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=62ff6524d3ca4910VgnVCM1000001d4a900aRCRD,28039,CALLE ALMANSA 9,19:00,"{'organization-name': 'Centro Sociocultural José de Espronceda (Tetuán)', 'accesibility': '1'}"
Danza: Intimate Roots,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca7db96cdd4f4910VgnVCM1000001d4a900aRCRD,28002,CALLE MANTUANO 51,18:00,"{'organization-name': 'Centro Cultural Nicolás Salmerón (Chamartín)', 'accesibility': '1'}"
De Agatha Christie hasta la actualidad,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=697bc08889415910VgnVCM2000001f4a900aRCRD,,,19:00,"{'organization-name': 'Centro Cultural Zazuar (Villa de Vallecas)', 'accesibility': '1,6'}"
De Casa de Campo a Madrid Río I,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f213099c7c2d8810VgnVCM2000001f4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,11:00,"{'organization-name': 'Centro de Información y Educación Ambiental de Casa de Campo', 'accesibility': '1'}"
DE MADRID AL HUERTO: (HUERTO URBANO),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6982b2de9aa7e810VgnVCM1000001d4a900aRCRD,28049,Carretera M-607 Km 13 L-10 ,10:00,"{'organization-name': 'Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo)', 'accesibility': '1'}"
De matadero a vivero,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41baa2c1cb315910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}"
Decir sí o no,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=02460c3d9a405910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,10:30,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}"
Del grafismo a la textura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a20a9f2a3815910VgnVCM1000001d4a900aRCRD,28023,TRAVESIA CA&amp;Ntilde;O 5,,"{'organization-name': 'Centro Cultural Juan Genovés (Moncloa - Aravaca)', 'accesibility': '1'}"
Democracia Woke,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=725bc56fdb5f4910VgnVCM2000001f4a900aRCRD,28004,CALLE BARCELO 4,19:00,"{'organization-name': 'Biblioteca Pública Municipal Mario Vargas Llosa (Centro)', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=79afaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=56dfaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6acfaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0afaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=edafaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c0dfaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Demostraciones en prensa de madera manual.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7dbfaeea739a3910VgnVCM2000001f4a900aRCRD,28012,CALLE CONCEPCION JERONIMA 15,11:00,"{'organization-name': 'Imprenta Municipal - Artes del libro', 'accesibility': '1,6'}"
Descubre el Vivero de Estufas del Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7e8af6138133810VgnVCM2000001f4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,"{'organization-name': 'Centro de Información y Educación Ambiental de El Huerto de El Retiro', 'accesibility': '1'}"
Descubre el Vivero de Estufas del Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f2b8af6138133810VgnVCM2000001f4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,"{'organization-name': 'Centro de Información y Educación Ambiental de El Huerto de El Retiro', 'accesibility': '1'}"
Descubre el Vivero de Estufas del Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=caf9c0b0864b1810VgnVCM2000001f4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,"{'organization-name': 'Centro de Información y Educación Ambiental de El Huerto de El Retiro', 'accesibility': '1'}"
Desfile con charanga y taller de máscaras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1849318cb1405910VgnVCM2000001f4a900aRCRD,28015,CALLE GALILEO 39,,"{'organization-name': 'Centro Cultural Galileo (Chamberí)', 'accesibility': '1'}"
Desfile de Carnaval,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48a0fcf4aade4910VgnVCM2000001f4a900aRCRD,,,17:30,
Desfile de carnaval,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=244fc02a29964910VgnVCM1000001d4a900aRCRD,28031,CALLE MONTE DE MONTJUICH 7,18:00,"{'organization-name': 'Auditorio Municipal Las Trece Rosas', 'accesibility': '1'}"
Desfile de Comparsas. Ciudad de los Ángeles,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca04ce6eb6ef4910VgnVCM1000001d4a900aRCRD,,,16:45,
Desplázate mejor usando el móvil. Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd3ef7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,10:00,"{'organization-name': 'Biblioteca Pública Municipal Ángel González (Latina)', 'accesibility': '1,6'}"
Destino de barrio - Lotitere (Cataluña),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f344379489f44910VgnVCM2000001f4a900aRCRD,28009,AVENIDA MÉXICO 4,12:30,"{'organization-name': 'Teatro Municipal de Títeres. Parque de El Retiro', 'accesibility': '1'}"
Destructuras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9ad7ab7aebd84910VgnVCM2000001f4a900aRCRD,28001,CALLE GOYA 1,,"{'organization-name': 'Centro Cultural Emilia Pardo Bazán (Salamanca)', 'accesibility': '1'}"
Diálogos mágicos: 'El Engaño y sus Ilusiones',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=11b32ebc9de64910VgnVCM1000001d4a900aRCRD,28012,RONDA ATOCHA 35,,"{'organization-name': 'Teatro Circo Price', 'accesibility': '1'}"
Días no lectivos 28 de febrero y 3 marzo. Campamento Urbano de Villaverde,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aae7755c2a384910VgnVCM2000001f4a900aRCRD,,,,
Días sin cole 28 de febrero y 3 de marzo 2025. Distrito de Chamartín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d85672756474910VgnVCM1000001d4a900aRCRD,,,,
Diván del Tamarit,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e4fe2fc6e6c1910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,,"{'organization-name': 'Teatro Español', 'accesibility': '1,6'}"
Diversa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea9ba9500ffc4910VgnVCM2000001f4a900aRCRD,28042,CALLE BOTICA 7,,"{'organization-name': 'Centro Cultural - Centro Socio Cultural Villa de Barajas', 'accesibility': '1,5,6'}"
Do It Yourself: Manualidades en la biblioteca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5dcd15c0bfe4910VgnVCM2000001f4a900aRCRD,28022,CALLE MARIA SEVILLA DIAGO 15,18:00,"{'organization-name': 'Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)', 'accesibility': '1,6'}"
Don Quijote,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2335b249a0915910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,16:00,"{'organization-name': 'Centro Cultural Antonio Machado (San Blas - Canillejas)', 'accesibility': '1'}"
Dramaturgia alemana,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc719f45bf9e1910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,"{'organization-name': 'Nave 10 Matadero. Creación Dramática Contemporánea', 'accesibility': '1,6'}"
Eduardo Frías y Javier Herguera,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a69c948aceca4910VgnVCM1000001d4a900aRCRD,28008,CALLE SANTA POLA 22,19:00,"{'organization-name': 'Auditorio Joaquín Rosado (Moncloa-Aravaca)', 'accesibility': '1,6'}"
Educación pública,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b349c4490405910VgnVCM1000001d4a900aRCRD,28029,PLAZA DONOSO 5,,"{'organization-name': 'Biblioteca Pública Municipal María Zambrano (Tetuán)', 'accesibility': '1,6'}"
El arca rusa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=af0464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,20:30,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}"
El bar y los españoles,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d991a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,"{'organization-name': 'Centro Cultural Buero Vallejo (San Blas - Canillejas)', 'accesibility': '1'}"
El Bosque de los Recuerdos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eea2ed891ad4910VgnVCM2000001f4a900aRCRD,28029,PLAZA DONOSO 5,11:30,"{'organization-name': 'Biblioteca Pública Municipal María Zambrano (Tetuán)', 'accesibility': '1,6'}"
El caftán azul,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d2b464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,20:30,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}"
El carnaval de los animales,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=540f253fbe9f4910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,12:00,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}"
El carnaval en el arte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ae43bff72ca4910VgnVCM2000001f4a900aRCRD,28025,CALLE ALISEDA 4,19:00,"{'organization-name': 'Centro Cultural San Francisco La Prensa (Carabanchel)', 'accesibility': '1'}"
